Restaurant,Latitude,Longitude,Cuisines,Average_Cost,Minimum_Order,Rating,Votes,Reviews,Cook_Time
ID_294,39.68082251,-85.54476298,"Bakery, Desserts, Fast Food",$10.00,$50.00,NEW,-,-,30 minutes
ID_6967,39.97149012,-85.10478656,"Cafe, European, Continental, Sandwich, Salad, Healthy Food",$60.00,$50.00,4.6,391,174,30 minutes
ID_2994,39.78608859,-85.51391817,Bengali,$20.00,$50.00,3.5,32,23,30 minutes
ID_6369,39.32966552,-85.46539025,"Bakery, Fast Food",$20.00,$50.00,3.3,39,11,30 minutes
ID_7768,39.72123107,-85.61547416,Fast Food,$15.00,$99.00,3.9,116,19,30 minutes
ID_134,39.66355779,-85.70068965,Desserts,$10.00,$50.00,3.4,22,9,45 minutes
ID_8414,39.74835955,-85.90493956,"Desserts, Beverages, American",$20.00,$50.00,3.9,51,29,45 minutes
ID_2216,39.59264057,-85.51534624,"Chinese, Thai",$15.00,$50.00,3.2,9,1,30 minutes
ID_2131,39.94383202,-85.75792858,"Chinese, Fast Food, Mughlai",$30.00,$50.00,3.7,128,30,45 minutes
ID_8057,39.85778082,-85.12994293,"Cafe, Continental, Fast Food",$30.00,$50.00,4.1,119,59,30 minutes
ID_3309,39.14680695,-85.43812391,"Chinese, Rolls",$15.00,$50.00,-,-,-,30 minutes
ID_7722,39.95687758,-85.18973037,"North Indian, Fast Food",$20.00,$50.00,3.4,26,16,30 minutes
ID_3117,39.92103884,-85.0671976,"Mishti, Fast Food, South Indian",$10.00,$50.00,4.0,381,89,65 minutes
ID_6905,39.28679651,-85.76768119,"South Indian, North Indian, Chinese, Beverages",$35.00,$50.00,4.2,441,170,30 minutes
ID_3087,39.08513835,-85.07752799,"Fast Food, Bengali",$10.00,$50.00,-,-,-,30 minutes
ID_207,39.54833494,-85.24905623,"Mithai, Street Food",$10.00,$50.00,3.7,62,10,30 minutes
ID_5095,39.50948504,-85.88419991,"Beverages, Desserts",$10.00,$50.00,3.6,7,4,30 minutes
ID_8233,39.19541646,-85.83185344,Fast Food,$10.00,$50.00,3.6,90,31,30 minutes
ID_6205,39.10429493,-85.25687474,Rolls,$10.00,$50.00,NEW,-,-,30 minutes
ID_7753,39.57111405,-85.06931999,"European, Continental, North Indian, Desserts",$75.00,$50.00,4.3,3124,1660,45 minutes
ID_888,39.37777066,-85.4736907,"Biryani, Mughlai, North Indian",$10.00,$50.00,3.5,69,37,30 minutes
ID_164,39.17314653,-85.1099918,"North Indian, Mughlai",$15.00,$50.00,3.3,-,-,30 minutes
ID_2653,39.50901051,-85.82570309,"North Indian, Chinese",$20.00,$50.00,3.9,385,71,30 minutes
ID_2818,39.78082675,-85.55778348,"North Indian, Chinese",$15.00,$99.00,2.8,96,41,45 minutes
ID_7520,39.94668124,-85.18325402,"North Indian, Chinese",$20.00,$50.00,NEW,-,-,45 minutes
ID_4849,39.24100187,-85.70933415,"Chinese, Pizza, Fast Food",$15.00,$50.00,3.7,55,20,30 minutes
ID_4179,39.66478804,-85.27301244,North Indian,$20.00,$50.00,3.3,9,5,30 minutes
ID_5321,39.57761635,-85.73713378,"Biryani, Hyderabadi, North Indian, Mughlai",$10.00,$50.00,2.6,-,-,30 minutes
ID_2376,39.8290004,-85.93120517,South Indian,$5.00,$50.00,3.5,12,2,30 minutes
ID_3147,39.37638564,-85.6029476,"Momos, Fast Food",$15.00,$50.00,3.5,85,40,30 minutes
ID_6452,39.16803142,-85.10071703,"Mithai, North Indian, South Indian, Chinese, Street Food",$15.00,$50.00,NEW,-,-,30 minutes
ID_5076,39.7619452,-85.57936126,"South Indian, North Indian",$10.00,$50.00,3.7,27,5,30 minutes
ID_7738,39.77671709,-85.44054981,"Continental, Beverages, Desserts",$20.00,$50.00,NEW,-,-,30 minutes
ID_4942,39.18524521,-85.17021406,"Fast Food, Ice Cream, Beverages",$20.00,$50.00,3.8,107,47,30 minutes
ID_3468,39.64833524,-85.62629733,Fast Food,$10.00,$50.00,3.3,13,4,30 minutes
ID_3797,39.68103152,-85.96604888,Fast Food,$20.00,$50.00,3.3,25,16,30 minutes
ID_6224,39.42686417,-85.48908376,Chinese,$10.00,$50.00,3.5,24,1,30 minutes
ID_1124,39.73842325,-85.88475452,"Burger, Fast Food",$10.00,$50.00,-,-,-,30 minutes
ID_6637,39.00550966,-85.03997818,Mughlai,$15.00,$50.00,2.8,7,3,30 minutes
ID_8434,39.85621377,-85.79863499,Chinese,$30.00,$99.00,2.9,393,191,65 minutes
ID_2962,39.91420209,-85.3508735,"North Indian, Rolls, Chinese",$20.00,$50.00,3.9,348,105,30 minutes
ID_6091,39.95387767,-85.02931789,"Andhra, Biryani",$20.00,$50.00,3.4,15,7,30 minutes
ID_2198,39.4404387,-85.24962077,Street Food,$10.00,$50.00,4.1,260,100,65 minutes
ID_4654,39.8399101,-85.27466544,"Burger, Fast Food",$20.00,$50.00,3.9,326,106,30 minutes
ID_3712,39.93249086,-85.99246381,Street Food,$10.00,$50.00,3.5,18,8,30 minutes
ID_1858,39.13800708,-85.34919832,"North Indian, South Indian, Assamese, Maharashtrian, Bengali",$20.00,$50.00,NEW,-,-,30 minutes
ID_4395,39.62526568,-85.69871441,"North Indian, Lucknowi",$20.00,$50.00,2.8,150,89,45 minutes
ID_3814,39.57945615,-85.281867,"Fast Food, Beverages",$15.00,$50.00,3.7,35,21,30 minutes
ID_7226,39.53340855,-85.82740285,North Indian,$10.00,$50.00,3.0,7,1,30 minutes
ID_2915,39.55404852,-85.70631456,North Indian,$20.00,$50.00,3.3,28,9,30 minutes
ID_5719,39.29004322,-85.26581427,Pizza,$20.00,$50.00,3.5,87,37,45 minutes
ID_1532,39.23931591,-85.24280484,"Chinese, Fast Food",$15.00,$50.00,3.5,187,65,30 minutes
ID_3539,39.90441069,-85.99210118,"Desserts, Ice Cream",$10.00,$50.00,2.6,28,13,30 minutes
ID_2677,39.01373357,-85.70063756,"North Indian, Chinese, Street Food",$15.00,$50.00,2.8,-,-,30 minutes
ID_1203,39.88801779,-85.18924812,Fast Food,$15.00,$50.00,3.0,4,-,30 minutes
ID_4645,39.22084771,-85.03278242,"North Indian, Fast Food",$30.00,$50.00,3.5,15,7,30 minutes
ID_1210,39.42858533,-85.20761253,"Beverages, Cafe, Sandwich, Fast Food, Desserts",$25.00,$50.00,3.8,118,69,45 minutes
ID_7260,39.01859493,-85.48043225,"North Indian, Mughlai",$15.00,$50.00,NEW,-,-,30 minutes
ID_1996,39.65036419,-85.70901558,North Indian,$15.00,$50.00,-,-,-,30 minutes
ID_7796,39.34868386,-85.16214663,"Street Food, Beverages",$10.00,$50.00,-,-,-,30 minutes
ID_1324,39.91827901,-85.98922282,Bakery,$20.00,$50.00,3.1,12,2,30 minutes
ID_1885,39.74895142,-85.70729255,North Indian,$30.00,$50.00,4.2,-,-,45 minutes
ID_2885,39.5435464,-85.18679656,"German, Italian, Cafe",$45.00,$50.00,4.3,4691,2547,45 minutes
ID_3351,39.14950349,-85.2512731,"North Indian, South Indian, Chinese, Arabian",$35.00,$50.00,3.1,89,10,30 minutes
ID_5223,39.78850907,-85.5055908,North Indian,$10.00,$50.00,3.9,70,9,30 minutes
ID_2093,39.6543456,-85.72041391,"North Indian, Mughlai",$15.00,$50.00,3.1,9,2,30 minutes
ID_5969,39.69471185,-85.99475034,Mithai,$5.00,$50.00,2.8,11,2,30 minutes
ID_4654,39.24297904,-85.30919376,"Burger, Fast Food",$20.00,$50.00,3.8,349,159,45 minutes
ID_8146,39.82756806,-85.30530302,"Finger Food, North Indian",$30.00,$50.00,3.0,6,1,30 minutes
ID_7674,39.39617399,-85.27029783,"North Indian, Chinese",$25.00,$99.00,4.5,143,110,65 minutes
ID_7677,39.33356397,-85.18352137,Bakery,$15.00,$50.00,3.2,7,3,30 minutes
ID_4484,39.20001943,-85.18549405,"Fast Food, Beverages",$10.00,$50.00,-,-,-,30 minutes
ID_669,39.50670932,-85.24685413,"North Indian, South Indian, Fast Food, Beverages",$15.00,$50.00,3.6,81,42,30 minutes
ID_4064,39.02706528,-85.4647336,Street Food,$5.00,$50.00,3.7,63,36,45 minutes
ID_1181,39.76457091,-85.94239909,"Sandwich, Chinese, North Indian, Pizza, Rolls, Fast Food, Desserts, Beverages",$20.00,$50.00,3.4,417,181,45 minutes
ID_4609,39.84686053,-85.16093401,"Street Food, Fast Food",$15.00,$50.00,3.4,20,16,30 minutes
ID_5401,39.74758059,-85.05253846,Chinese,$15.00,$50.00,4.2,124,109,30 minutes
ID_1215,39.10847827,-85.20806781,"Fast Food, Street Food, Momos",$10.00,$50.00,3.3,12,1,30 minutes
ID_1773,39.26540035,-85.48216432,"North Indian, Fast Food",$20.00,$50.00,2.9,47,10,45 minutes
ID_1452,39.42232062,-85.30285583,"Street Food, Fast Food",$10.00,$50.00,4.0,242,179,65 minutes
ID_5440,39.86541915,-85.21974523,"Italian, Beverages",$30.00,$50.00,3.5,12,5,30 minutes
ID_553,39.17656867,-85.11412483,Mughlai,$15.00,$50.00,3.4,9,2,30 minutes
ID_622,39.29635295,-85.77463462,Fast Food,$10.00,$50.00,-,-,-,30 minutes
ID_6537,39.33842589,-85.05245608,"Biryani, North Indian, Mughlai, Kebab, Rolls",$25.00,$99.00,4.7,706,490,30 minutes
ID_6951,39.73504772,-85.63514556,South Indian,$5.00,$50.00,4.0,109,28,30 minutes
ID_8413,39.17786602,-85.93043892,Desserts,$15.00,$50.00,4.4,584,343,45 minutes
ID_5237,39.46381376,-85.84282636,"Fast Food, Rolls, Beverages",$15.00,$50.00,3.6,37,16,30 minutes
ID_1005,39.44419204,-85.84200597,"Street Food, Fast Food",$15.00,$50.00,4.3,253,118,30 minutes
ID_5181,39.59856885,-85.22711007,"North Indian, Chinese",$15.00,$50.00,3.4,123,37,30 minutes
ID_1766,39.11130285,-85.67338662,"Chettinad, North Indian, Seafood",$20.00,$50.00,4.1,1665,690,30 minutes
ID_6145,39.66011329,-85.04340273,"Ice Cream, Fast Food",$15.00,$50.00,3.3,9,3,30 minutes
ID_1972,39.69399226,-85.73634293,"Pizza, Burger, Fast Food, Desserts",$20.00,$50.00,3.9,191,72,45 minutes
ID_8614,39.00180264,-85.75861338,"Biryani, Mughlai",$10.00,$50.00,-,-,-,30 minutes
ID_308,39.2486385,-85.86583989,"Chinese, South Indian, North Indian",$25.00,$50.00,3.0,4,2,30 minutes
ID_4468,39.38267148,-85.10729284,South Indian,$15.00,$50.00,3.5,40,6,30 minutes
ID_7468,39.41714904,-85.01070388,"North Indian, Street Food, Desserts",$15.00,$50.00,4.0,696,296,45 minutes
ID_7299,39.51315953,-85.43814981,"Bakery, Desserts",$15.00,$50.00,3.8,72,33,45 minutes
ID_4827,39.74187426,-85.97823426,"Chinese, Fast Food, North Indian, Momos",$20.00,$99.00,4.0,334,164,45 minutes
ID_8391,39.56907815,-85.69127696,"Cafe, Desserts",$20.00,$50.00,NEW,-,-,30 minutes
ID_8049,39.28008133,-85.06996606,"North Indian, Mughlai, Momos",$25.00,$50.00,3.8,173,29,45 minutes
ID_1171,39.62323954,-85.73190646,Juices,$10.00,$50.00,3.1,5,2,30 minutes
ID_4137,39.05755093,-85.48767512,"Desserts, Beverages",$20.00,$50.00,4.1,62,50,30 minutes
ID_8129,39.95728594,-85.78271623,"Chinese, North Indian",$10.00,$50.00,3.8,85,27,30 minutes
ID_7583,39.57045542,-85.99243282,"Sandwich, Italian, Desserts",$25.00,$50.00,3.8,224,129,45 minutes
ID_5352,39.18302594,-85.48377028,Mughlai,$20.00,$50.00,-,-,-,30 minutes
ID_6908,39.5415937,-85.90436351,North Indian,$10.00,$50.00,-,-,-,30 minutes
ID_1316,39.60256378,-85.44360947,"Cafe, Italian",$60.00,$50.00,4.2,2653,1581,65 minutes
ID_3332,39.50980278,-85.81317119,"North Indian, Chinese",$15.00,$50.00,-,-,-,30 minutes
ID_7412,39.38242655,-85.49986405,"North Indian, Chinese, Rolls",$15.00,$50.00,4.8,326,234,30 minutes
ID_8503,39.03108594,-85.91333604,"Bengali, Fast Food",$30.00,$50.00,3.5,90,45,45 minutes
ID_8382,39.80854209,-85.56866417,"North Indian, Street Food",$20.00,$50.00,3.9,175,59,45 minutes
ID_5921,39.68350135,-85.56374304,North Indian,$15.00,$50.00,3.1,4,-,30 minutes
ID_463,39.24208924,-85.37933894,"Ice Cream, Desserts",$20.00,$50.00,4.1,-,-,30 minutes
ID_1460,39.9611274,-85.39974215,Mithai,$10.00,$50.00,3.3,15,7,30 minutes
ID_4202,39.24472701,-85.74167043,"Parsi, Bakery",$20.00,$50.00,4.0,4335,2363,30 minutes
ID_975,39.19960225,-85.39468573,"Japanese, Sushi",$40.00,$50.00,3.6,163,72,45 minutes
ID_8359,39.40821447,-85.2306036,"North Indian, Chinese",$55.00,$50.00,3.4,53,24,30 minutes
ID_6548,39.09530132,-85.28355119,"Beverages, Desserts, Ice Cream",$15.00,$50.00,2.9,6,2,45 minutes
ID_2002,39.85550184,-85.1841455,Rolls,$5.00,$50.00,3.1,6,2,30 minutes
ID_7261,39.59319619,-85.58713284,"North Indian, South Indian, Chinese, Fast Food",$35.00,$50.00,3.0,19,5,45 minutes
ID_7696,39.37885729,-85.1632968,"North Indian, Chinese",$15.00,$99.00,3.9,216,115,45 minutes
ID_4095,39.95669365,-85.99287673,"North Indian, Chinese",$20.00,$50.00,3.7,45,12,45 minutes
ID_5986,39.6172414,-85.87857241,"North Indian, Chinese",$20.00,$50.00,3.8,302,138,45 minutes
ID_7172,39.96086584,-85.85826794,North Indian,$15.00,$50.00,2.8,16,8,45 minutes
ID_2780,39.44554131,-85.0539755,"Fast Food, Chinese",$20.00,$50.00,3.1,76,36,45 minutes
ID_6441,39.25691399,-85.77568989,Street Food,$10.00,$50.00,3.1,4,1,30 minutes
ID_2164,39.72199336,-85.26211505,"Ice Cream, Fast Food, Beverages",$15.00,$50.00,NEW,-,-,30 minutes
ID_2053,39.12204924,-85.74231609,South Indian,$15.00,$50.00,3.6,87,45,45 minutes
ID_1172,39.75808644,-85.0256734,Cafe,$20.00,$50.00,3.3,9,1,30 minutes
ID_3499,39.40960094,-85.79575013,"Chinese, Fast Food",$10.00,$50.00,3.2,12,7,30 minutes
ID_62,39.2781527,-85.51213762,"Chinese, Fast Food, North Indian, Mughlai",$30.00,$50.00,3.4,298,175,65 minutes
ID_5414,39.73447419,-85.6676522,Desserts,$15.00,$50.00,3.6,18,3,45 minutes
ID_7309,39.83404267,-85.96384913,"Fast Food, Street Food, Beverages",$15.00,$50.00,3.7,77,39,45 minutes
ID_1639,39.55576058,-85.03469752,"Fast Food, American",$15.00,$50.00,3.5,101,53,45 minutes
ID_3106,39.97414069,-85.13041294,"Fast Food, Mughlai",$10.00,$50.00,3.9,116,66,45 minutes
ID_2617,39.32309293,-85.5555206,"Fast Food, Biryani, Beverages",$20.00,$50.00,-,-,-,30 minutes
ID_2041,39.16900616,-85.23023738,"Italian, Pizza, Salad, Healthy Food, Mexican, Cafe, Desserts, Continental",$65.00,$50.00,4.4,3248,1603,45 minutes
ID_2673,39.49687086,-85.10108978,"Chinese, North Indian",$20.00,$50.00,3.6,125,29,30 minutes
ID_7912,39.69136984,-85.98165258,"Pizza, Beverages",$35.00,$50.00,3.3,11,6,30 minutes
ID_3779,39.76189105,-85.80440431,"Beverages, Juices, Fast Food",$10.00,$50.00,3.6,31,15,30 minutes
ID_3683,39.93338583,-85.61524275,North Indian,$15.00,$50.00,3.0,4,1,30 minutes
ID_4508,39.37153329,-85.49585042,"Chinese, North Indian",$15.00,$50.00,3.1,192,50,45 minutes
ID_4878,39.88892074,-85.18747675,"Cafe, Continental, Italian",$40.00,$50.00,4.2,2828,1443,45 minutes
ID_2802,39.69826678,-85.71493875,"Bakery, Desserts",$15.00,$50.00,3.2,6,4,30 minutes
ID_2814,39.1756346,-85.83250275,"Japanese, Sushi, Asian",$80.00,$50.00,4.2,721,390,45 minutes
ID_188,39.50584154,-85.64310772,"North Indian, Mughlai",$15.00,$50.00,3.3,4,2,30 minutes
ID_4614,39.66594512,-85.18535852,"North Indian, Mughlai",$20.00,$50.00,3.7,66,42,30 minutes
ID_7647,39.46234282,-85.76016409,"Chinese, Fast Food, Momos",$15.00,$50.00,-,-,-,30 minutes
ID_5499,39.25713091,-85.48716084,"North Indian, South Indian, Chinese, Bengali, Odia, Biryani, Beverages",$15.00,$50.00,3.5,45,29,45 minutes
ID_7594,39.76375595,-85.61594279,Burger,$20.00,$50.00,NEW,-,-,30 minutes
ID_6436,39.80036552,-85.47746046,South Indian,$15.00,$50.00,3.9,219,108,30 minutes
ID_4298,39.4179752,-85.19872789,"Salad, Beverages, Healthy Food, Desserts",$20.00,$50.00,3.5,36,24,65 minutes
ID_7158,39.2000858,-85.57600617,"Ice Cream, Cafe, Pizza, Burger, Beverages",$20.00,$50.00,4.5,2805,1457,45 minutes
ID_7750,39.38987618,-85.25071566,"Asian, Biryani, North Indian, Desserts",$20.00,$50.00,4.1,37,30,45 minutes
ID_7397,39.13506409,-85.52749596,"Continental, Burger, Wraps, Beverages",$15.00,$50.00,4.0,34,27,30 minutes
ID_5574,39.19495006,-85.20333741,"Fast Food, Chinese",$15.00,$50.00,NEW,-,-,30 minutes
ID_4635,39.94109546,-85.89319597,Street Food,$10.00,$50.00,NEW,-,-,30 minutes
ID_6659,39.13778347,-85.64076778,Chinese,$10.00,$50.00,-,-,-,30 minutes
ID_621,39.15072708,-85.97615301,"Mithai, Street Food, Chinese",$15.00,$50.00,3.3,35,16,65 minutes
ID_7260,39.64050498,-85.06214071,"North Indian, Mughlai",$15.00,$50.00,NEW,-,-,30 minutes
ID_5602,39.6557274,-85.61685088,"North Indian, Chinese",$25.00,$50.00,2.8,27,11,30 minutes
ID_7252,39.30274588,-85.22881832,"Tamil, Biryani, South Indian, Chettinad, North Indian, Chinese",$25.00,$50.00,3.9,163,112,30 minutes
ID_2879,39.55651432,-85.25544435,"South Indian, North Indian, Fast Food",$20.00,$50.00,3.7,182,107,45 minutes
ID_2637,39.48646962,-85.2867231,"Chinese, North Indian, Street Food",$15.00,$50.00,NEW,-,-,30 minutes
ID_6278,39.22516297,-85.95871471,"Chinese, Cantonese",$100.00,$50.00,4.7,441,259,30 minutes
ID_4625,39.03212772,-85.37542576,"North Eastern, Momos, Fast Food, Beverages, Tibetan",$10.00,$50.00,2.9,-,-,30 minutes
ID_3176,39.71585139,-85.67012084,"Fast Food, Chinese",$15.00,$50.00,3.5,26,6,30 minutes
ID_6778,39.66336762,-85.23633025,Street Food,$10.00,$50.00,-,-,-,30 minutes
ID_6312,39.37752057,-85.6796376,"Maharashtrian, South Indian, Chinese",$15.00,$50.00,3.3,12,7,30 minutes
ID_6002,39.76045015,-85.43283885,Bakery,$5.00,$50.00,3.2,11,1,30 minutes
ID_3655,39.79990658,-85.36537419,Mithai,$10.00,$99.00,3.9,60,15,45 minutes
ID_3288,39.83027348,-85.17769982,"North Indian, South Indian, Fast Food",$10.00,$50.00,-,-,-,30 minutes
ID_6406,39.97208006,-85.59388866,"Biryani, Mughlai",$10.00,$50.00,3.6,353,53,30 minutes
ID_1059,39.43350401,-85.35182426,"Chinese, North Indian",$10.00,$50.00,-,-,-,30 minutes
ID_8302,39.00676544,-85.44521732,"North Indian, Rolls",$10.00,$50.00,3.6,27,12,30 minutes
ID_6710,39.44003752,-85.30156625,"Pizza, Fast Food",$15.00,$50.00,3.7,43,9,30 minutes
ID_731,39.72516092,-85.79834239,Bengali,$15.00,$50.00,-,-,-,30 minutes
ID_2132,39.0541295,-85.61080468,Fast Food,$10.00,$50.00,3.3,10,4,30 minutes
ID_3491,39.72568009,-85.56576247,"Chinese, Thai",$20.00,$50.00,3.5,13,9,30 minutes
ID_6264,39.49133839,-85.08672131,"North Indian, Chinese, Mughlai",$30.00,$50.00,3.4,47,25,30 minutes
ID_437,39.45146393,-85.54563707,"North Indian, Fast Food",$10.00,$50.00,3.3,10,-,30 minutes
ID_6300,39.36411384,-85.95979724,"Mithai, Street Food",$15.00,$50.00,3.4,13,1,30 minutes
ID_7465,39.80772224,-85.06620497,"Tibetan, Chinese, Momos",$25.00,$50.00,4.2,633,269,45 minutes
ID_1148,39.42654039,-85.65616257,"Fast Food, Burger",$15.00,$50.00,3.5,23,6,30 minutes
ID_8026,39.77788859,-85.55905528,"Street Food, Fast Food, Beverages",$15.00,$50.00,3.4,13,10,45 minutes
ID_462,39.98479257,-85.45500416,Bakery,$30.00,$50.00,3.8,77,52,30 minutes
ID_2237,39.57368515,-85.96901208,"North Indian, Chinese",$30.00,$50.00,-,-,-,30 minutes
ID_7266,39.9780837,-85.58520823,"North Indian, Fast Food, Chinese",$20.00,$50.00,NEW,-,-,30 minutes
ID_1209,39.42730019,-85.48654647,"Cafe, Desserts",$30.00,$50.00,3.6,54,34,30 minutes
ID_3624,39.199033,-85.45164903,"Cafe, Fast Food",$20.00,$50.00,-,-,-,30 minutes
